sample_name,read_1,read_2
ERR971977,data/illumina/ERR971977_1.fastq.gz,data/illumina/ERR971977_2.fastq.gz
ERR4504377,data/illumina/ERR4504377_1.fastq.gz,data/illumina/ERR4504377_2.fastq.gz
ERR4504394,data/illumina/ERR4504394_1.fastq.gz,data/illumina/ERR4504394_2.fastq.gz
ERR4504264,data/illumina/ERR4504264_1.fastq.gz,data/illumina/ERR4504264_2.fastq.gz
ERR8574944,data/illumina/ERR8574944_1.fastq.gz,data/illumina/ERR8574944_2.fastq.gz
ERR8574956,data/illumina/ERR8574956_1.fastq.gz,data/illumina/ERR8574956_2.fastq.gz
ERR12058277,data/illumina/ERR12058277_1.fastq.gz,data/illumina/ERR12058277_2.fastq.gz
ERR12058284,data/illumina/ERR12058284_1.fastq.gz,data/illumina/ERR12058284_2.fastq.gz
ERR12058286,data/illumina/ERR12058286_1.fastq.gz,data/illumina/ERR12058286_2.fastq.gz
ERR12058288,data/illumina/ERR12058288_1.fastq.gz,data/illumina/ERR12058288_2.fastq.gz
ERR12058291,data/illumina/ERR12058291_1.fastq.gz,data/illumina/ERR12058291_2.fastq.gz
ERR12058292,data/illumina/ERR12058292_1.fastq.gz,data/illumina/ERR12058292_2.fastq.gz
ERR12058296,data/illumina/ERR12058296_1.fastq.gz,data/illumina/ERR12058296_2.fastq.gz
ERR12058297,data/illumina/ERR12058297_1.fastq.gz,data/illumina/ERR12058297_2.fastq.gz
ERR12058298,data/illumina/ERR12058298_1.fastq.gz,data/illumina/ERR12058298_2.fastq.gz
ERR12058299,data/illumina/ERR12058299_1.fastq.gz,data/illumina/ERR12058299_2.fastq.gz
ERR12058300,data/illumina/ERR12058300_1.fastq.gz,data/illumina/ERR12058300_2.fastq.gz
ERR12058301,data/illumina/ERR12058301_1.fastq.gz,data/illumina/ERR12058301_2.fastq.gz
ERR12058302,data/illumina/ERR12058302_1.fastq.gz,data/illumina/ERR12058302_2.fastq.gz
ERR12058303,data/illumina/ERR12058303_1.fastq.gz,data/illumina/ERR12058303_2.fastq.gz
ERR12058304,data/illumina/ERR12058304_1.fastq.gz,data/illumina/ERR12058304_2.fastq.gz
ERR12058306,data/illumina/ERR12058306_1.fastq.gz,data/illumina/ERR12058306_2.fastq.gz
ERR12058310,data/illumina/ERR12058310_1.fastq.gz,data/illumina/ERR12058310_2.fastq.gz
ERR12058323,data/illumina/ERR12058323_1.fastq.gz,data/illumina/ERR12058323_2.fastq.gz
ERR12058324,data/illumina/ERR12058324_1.fastq.gz,data/illumina/ERR12058324_2.fastq.gz
ERR12058194,data/illumina/ERR12058194_1.fastq.gz,data/illumina/ERR12058194_2.fastq.gz
ERR12058328,data/illumina/ERR12058328_1.fastq.gz,data/illumina/ERR12058328_2.fastq.gz
ERR12058330,data/illumina/ERR12058330_1.fastq.gz,data/illumina/ERR12058330_2.fastq.gz
ERR12058331,data/illumina/ERR12058331_1.fastq.gz,data/illumina/ERR12058331_2.fastq.gz
ERR12058332,data/illumina/ERR12058332_1.fastq.gz,data/illumina/ERR12058332_2.fastq.gz
ERR12058333,data/illumina/ERR12058333_1.fastq.gz,data/illumina/ERR12058333_2.fastq.gz
ERR12058334,data/illumina/ERR12058334_1.fastq.gz,data/illumina/ERR12058334_2.fastq.gz
ERR12058336,data/illumina/ERR12058336_1.fastq.gz,data/illumina/ERR12058336_2.fastq.gz
ERR12058338,data/illumina/ERR12058338_1.fastq.gz,data/illumina/ERR12058338_2.fastq.gz
ERR12058353,data/illumina/ERR12058353_1.fastq.gz,data/illumina/ERR12058353_2.fastq.gz
ERR12058354,data/illumina/ERR12058354_1.fastq.gz,data/illumina/ERR12058354_2.fastq.gz
ERR12058355,data/illumina/ERR12058355_1.fastq.gz,data/illumina/ERR12058355_2.fastq.gz
ERR12058356,data/illumina/ERR12058356_1.fastq.gz,data/illumina/ERR12058356_2.fastq.gz
ERR12058357,data/illumina/ERR12058357_1.fastq.gz,data/illumina/ERR12058357_2.fastq.gz
ERR12058358,data/illumina/ERR12058358_1.fastq.gz,data/illumina/ERR12058358_2.fastq.gz
ERR12058395,data/illumina/ERR12058395_1.fastq.gz,data/illumina/ERR12058395_2.fastq.gz
ERR12058399,data/illumina/ERR12058399_1.fastq.gz,data/illumina/ERR12058399_2.fastq.gz
ERR12058418,data/illumina/ERR12058418_1.fastq.gz,data/illumina/ERR12058418_2.fastq.gz
ERR12058453,data/illumina/ERR12058453_1.fastq.gz,data/illumina/ERR12058453_2.fastq.gz
ERR12058516,data/illumina/ERR12058516_1.fastq.gz,data/illumina/ERR12058516_2.fastq.gz
ERR12058219,data/illumina/ERR12058219_1.fastq.gz,data/illumina/ERR12058219_2.fastq.gz
ERR12058223,data/illumina/ERR12058223_1.fastq.gz,data/illumina/ERR12058223_2.fastq.gz
ERR12058241,data/illumina/ERR12058241_1.fastq.gz,data/illumina/ERR12058241_2.fastq.gz
ERR12058245,data/illumina/ERR12058245_1.fastq.gz,data/illumina/ERR12058245_2.fastq.gz
ERR12058249,data/illumina/ERR12058249_1.fastq.gz,data/illumina/ERR12058249_2.fastq.gz
ERR12058251,data/illumina/ERR12058251_1.fastq.gz,data/illumina/ERR12058251_2.fastq.gz
ERR12058253,data/illumina/ERR12058253_1.fastq.gz,data/illumina/ERR12058253_2.fastq.gz
ERR12058257,data/illumina/ERR12058257_1.fastq.gz,data/illumina/ERR12058257_2.fastq.gz
ERR12058267,data/illumina/ERR12058267_1.fastq.gz,data/illumina/ERR12058267_2.fastq.gz
ERR12058270,data/illumina/ERR12058270_1.fastq.gz,data/illumina/ERR12058270_2.fastq.gz
ERR12058272,data/illumina/ERR12058272_1.fastq.gz,data/illumina/ERR12058272_2.fastq.gz
ERR12058274,data/illumina/ERR12058274_1.fastq.gz,data/illumina/ERR12058274_2.fastq.gz
ERR12058627,data/illumina/ERR12058627_1.fastq.gz,data/illumina/ERR12058627_2.fastq.gz
ERR12058628,data/illumina/ERR12058628_1.fastq.gz,data/illumina/ERR12058628_2.fastq.gz
ERR12058632,data/illumina/ERR12058632_1.fastq.gz,data/illumina/ERR12058632_2.fastq.gz
ERR12058636,data/illumina/ERR12058636_1.fastq.gz,data/illumina/ERR12058636_2.fastq.gz
ERR12058638,data/illumina/ERR12058638_1.fastq.gz,data/illumina/ERR12058638_2.fastq.gz
ERR12058640,data/illumina/ERR12058640_1.fastq.gz,data/illumina/ERR12058640_2.fastq.gz
ERR12058659,data/illumina/ERR12058659_1.fastq.gz,data/illumina/ERR12058659_2.fastq.gz
ERR12058660,data/illumina/ERR12058660_1.fastq.gz,data/illumina/ERR12058660_2.fastq.gz
ERR12058662,data/illumina/ERR12058662_1.fastq.gz,data/illumina/ERR12058662_2.fastq.gz
ERR12058663,data/illumina/ERR12058663_1.fastq.gz,data/illumina/ERR12058663_2.fastq.gz
ERR12058666,data/illumina/ERR12058666_1.fastq.gz,data/illumina/ERR12058666_2.fastq.gz
ERR12058692,data/illumina/ERR12058692_1.fastq.gz,data/illumina/ERR12058692_2.fastq.gz
ERR12058696,data/illumina/ERR12058696_1.fastq.gz,data/illumina/ERR12058696_2.fastq.gz
ERR12058698,data/illumina/ERR12058698_1.fastq.gz,data/illumina/ERR12058698_2.fastq.gz
ERR12058700,data/illumina/ERR12058700_1.fastq.gz,data/illumina/ERR12058700_2.fastq.gz
ERR12058702,data/illumina/ERR12058702_1.fastq.gz,data/illumina/ERR12058702_2.fastq.gz
ERR12058720,data/illumina/ERR12058720_1.fastq.gz,data/illumina/ERR12058720_2.fastq.gz
ERR12058722,data/illumina/ERR12058722_1.fastq.gz,data/illumina/ERR12058722_2.fastq.gz
ERR12058724,data/illumina/ERR12058724_1.fastq.gz,data/illumina/ERR12058724_2.fastq.gz
ERR12058726,data/illumina/ERR12058726_1.fastq.gz,data/illumina/ERR12058726_2.fastq.gz
ERR12058728,data/illumina/ERR12058728_1.fastq.gz,data/illumina/ERR12058728_2.fastq.gz
ERR12058730,data/illumina/ERR12058730_1.fastq.gz,data/illumina/ERR12058730_2.fastq.gz
ERR12058732,data/illumina/ERR12058732_1.fastq.gz,data/illumina/ERR12058732_2.fastq.gz
ERR12058734,data/illumina/ERR12058734_1.fastq.gz,data/illumina/ERR12058734_2.fastq.gz
ERR12058752,data/illumina/ERR12058752_1.fastq.gz,data/illumina/ERR12058752_2.fastq.gz
ERR12058756,data/illumina/ERR12058756_1.fastq.gz,data/illumina/ERR12058756_2.fastq.gz
ERR12058758,data/illumina/ERR12058758_1.fastq.gz,data/illumina/ERR12058758_2.fastq.gz
ERR12058759,data/illumina/ERR12058759_1.fastq.gz,data/illumina/ERR12058759_2.fastq.gz
ERR12058761,data/illumina/ERR12058761_1.fastq.gz,data/illumina/ERR12058761_2.fastq.gz
ERR12058762,data/illumina/ERR12058762_1.fastq.gz,data/illumina/ERR12058762_2.fastq.gz
ERR12058763,data/illumina/ERR12058763_1.fastq.gz,data/illumina/ERR12058763_2.fastq.gz
ERR12058764,data/illumina/ERR12058764_1.fastq.gz,data/illumina/ERR12058764_2.fastq.gz
ERR12058767,data/illumina/ERR12058767_1.fastq.gz,data/illumina/ERR12058767_2.fastq.gz
ERR12058788,data/illumina/ERR12058788_1.fastq.gz,data/illumina/ERR12058788_2.fastq.gz
ERR12058790,data/illumina/ERR12058790_1.fastq.gz,data/illumina/ERR12058790_2.fastq.gz
ERR12058792,data/illumina/ERR12058792_1.fastq.gz,data/illumina/ERR12058792_2.fastq.gz
ERR12058794,data/illumina/ERR12058794_1.fastq.gz,data/illumina/ERR12058794_2.fastq.gz
ERR12058796,data/illumina/ERR12058796_1.fastq.gz,data/illumina/ERR12058796_2.fastq.gz
ERR12058798,data/illumina/ERR12058798_1.fastq.gz,data/illumina/ERR12058798_2.fastq.gz
ERR12058546,data/illumina/ERR12058546_1.fastq.gz,data/illumina/ERR12058546_2.fastq.gz
ERR12058807,data/illumina/ERR12058807_1.fastq.gz,data/illumina/ERR12058807_2.fastq.gz
ERR12058816,data/illumina/ERR12058816_1.fastq.gz,data/illumina/ERR12058816_2.fastq.gz
ERR12058819,data/illumina/ERR12058819_1.fastq.gz,data/illumina/ERR12058819_2.fastq.gz
ERR12058820,data/illumina/ERR12058820_1.fastq.gz,data/illumina/ERR12058820_2.fastq.gz
ERR12058821,data/illumina/ERR12058821_1.fastq.gz,data/illumina/ERR12058821_2.fastq.gz
ERR12058823,data/illumina/ERR12058823_1.fastq.gz,data/illumina/ERR12058823_2.fastq.gz
ERR12058550,data/illumina/ERR12058550_1.fastq.gz,data/illumina/ERR12058550_2.fastq.gz
ERR12058848,data/illumina/ERR12058848_1.fastq.gz,data/illumina/ERR12058848_2.fastq.gz
ERR12058849,data/illumina/ERR12058849_1.fastq.gz,data/illumina/ERR12058849_2.fastq.gz
ERR12058850,data/illumina/ERR12058850_1.fastq.gz,data/illumina/ERR12058850_2.fastq.gz
ERR12058854,data/illumina/ERR12058854_1.fastq.gz,data/illumina/ERR12058854_2.fastq.gz
ERR12058867,data/illumina/ERR12058867_1.fastq.gz,data/illumina/ERR12058867_2.fastq.gz
ERR12058868,data/illumina/ERR12058868_1.fastq.gz,data/illumina/ERR12058868_2.fastq.gz
ERR12058870,data/illumina/ERR12058870_1.fastq.gz,data/illumina/ERR12058870_2.fastq.gz
ERR12058564,data/illumina/ERR12058564_1.fastq.gz,data/illumina/ERR12058564_2.fastq.gz
ERR12058566,data/illumina/ERR12058566_1.fastq.gz,data/illumina/ERR12058566_2.fastq.gz
ERR12058567,data/illumina/ERR12058567_1.fastq.gz,data/illumina/ERR12058567_2.fastq.gz
ERR12058568,data/illumina/ERR12058568_1.fastq.gz,data/illumina/ERR12058568_2.fastq.gz
ERR12058570,data/illumina/ERR12058570_1.fastq.gz,data/illumina/ERR12058570_2.fastq.gz
ERR12058572,data/illumina/ERR12058572_1.fastq.gz,data/illumina/ERR12058572_2.fastq.gz
ERR12058575,data/illumina/ERR12058575_1.fastq.gz,data/illumina/ERR12058575_2.fastq.gz
ERR12058576,data/illumina/ERR12058576_1.fastq.gz,data/illumina/ERR12058576_2.fastq.gz
ERR12058885,data/illumina/ERR12058885_1.fastq.gz,data/illumina/ERR12058885_2.fastq.gz
ERR12059067,data/illumina/ERR12059067_1.fastq.gz,data/illumina/ERR12059067_2.fastq.gz
ERR12059076,data/illumina/ERR12059076_1.fastq.gz,data/illumina/ERR12059076_2.fastq.gz
ERR12059173,data/illumina/ERR12059173_1.fastq.gz,data/illumina/ERR12059173_2.fastq.gz
ERR12059176,data/illumina/ERR12059176_1.fastq.gz,data/illumina/ERR12059176_2.fastq.gz
ERR12059180,data/illumina/ERR12059180_1.fastq.gz,data/illumina/ERR12059180_2.fastq.gz
ERR12058974,data/illumina/ERR12058974_1.fastq.gz,data/illumina/ERR12058974_2.fastq.gz
ERR12059234,data/illumina/ERR12059234_1.fastq.gz,data/illumina/ERR12059234_2.fastq.gz
ERR12059291,data/illumina/ERR12059291_1.fastq.gz,data/illumina/ERR12059291_2.fastq.gz
ERR12058959,data/illumina/ERR12058959_1.fastq.gz,data/illumina/ERR12058959_2.fastq.gz
ERR12059451,data/illumina/ERR12059451_1.fastq.gz,data/illumina/ERR12059451_2.fastq.gz
ERR12059466,data/illumina/ERR12059466_1.fastq.gz,data/illumina/ERR12059466_2.fastq.gz
ERR12059334,data/illumina/ERR12059334_1.fastq.gz,data/illumina/ERR12059334_2.fastq.gz
ERR12059344,data/illumina/ERR12059344_1.fastq.gz,data/illumina/ERR12059344_2.fastq.gz
ERR12059346,data/illumina/ERR12059346_1.fastq.gz,data/illumina/ERR12059346_2.fastq.gz
ERR12059348,data/illumina/ERR12059348_1.fastq.gz,data/illumina/ERR12059348_2.fastq.gz
